,Energy output [kWh],Irradiation panels [W/m^2],Irradiation crops [W/m^2],Energy export [kWh],Energy usage [kWh],Crop impact [W/m^2],Minimum crop [W/m^2],Maximum crop [W/m^2]
January,1017418.1097187388,128.12018066597324,46.9470447024267,1017418.1097187388,0,-61.5529552975733,108.5,130.2
February,1126581.7851240418,175.6470361379535,77.0757359852102,1126581.7851240418,0,-31.4242640147898,108.5,130.2
March,1378200.3260642579,239.46882206619622,124.02425327599884,1378200.3260642579,0,0.0,0.0,0.0
April,1356412.793915139,286.1642049837426,167.76939207741327,1356412.793915139,0,0.0,0.0,0.0
May,1400647.8172041597,322.0726140438677,202.75180868667582,1400647.8172041597,0,0.0,0.0,0.0
June,1337856.045310872,334.5381501358428,216.33346645594477,1337856.045310872,0,0.0,0.0,0.0
July,1374754.951790596,322.51231562840803,205.2983011763338,1374754.951790596,0,0.0,0.0,0.0
August,1404973.5662554835,299.6409437853282,180.51815289140683,1404973.5662554835,0,0.0,0.0,0.0
September,1271734.7441561767,242.11841928757514,132.67540021566913,1271734.7441561767,0,0.0,0.0,0.0
October,1238845.7207339667,191.65627614094765,89.72016501912086,1238845.7207339667,0,0.0,21.7,43.4
November,1046419.1702506404,141.10494421412264,54.05316453329339,1046419.1702506404,0,0.0,43.4,130.2
December,1023752.7927829894,120.2910711816599,38.815080485665405,1023752.7927829894,0,-4.584919514334594,43.4,130.2
