,Energy output [kWh],Irradiation panels [kW/m^2],Irradiation crops [kW/m^2],Energy export [kWh],Energy usage [kWh],Crop impact [W/m^2]
January,1567668.9483452102,0.2110977180653691,0.03977915636729765,1567668.9483452102,0,-68.72084363270235
February,1755831.7572155413,0.25538080999438934,0.06730176452576203,1755831.7572155413,0,-41.19823547423797
March,2170469.247403776,0.2975937408998056,0.11107664712900493,2170469.247403776,0,0.0
April,2164399.4748515394,0.30607828844060025,0.15333097282868371,2164399.4748515394,0,0.0
May,2254490.4697682722,0.30760391099674805,0.18670105253801192,2254490.4697682722,0,0.0
June,2162727.391872416,0.3041170853494493,0.19991262255666037,2162727.391872416,0,0.0
July,2215477.167577315,0.301458643474317,0.1895620702737775,2215477.167577315,0,0.0
August,2249316.454196977,0.30751268357041894,0.16579230162412537,2249316.454196977,0,0.0
September,2016078.3441755103,0.2840910941296761,0.12015745794308078,2016078.3441755103,0,0.0
October,1940245.5178217706,0.26420687191451353,0.07922219919723866,1940245.5178217706,0,35.82219919723866
November,1615418.8524400543,0.2255629821902647,0.046050639209914784,1615418.8524400543,0,0.0
December,1576246.789493812,0.21239446598580225,0.03203082155962225,1576246.789493812,0,-11.369178440377748
