,Energy output [kWh],Irradiation panels [W/m^2],Irradiation crops [W/m^2],Energy export [kWh],Energy usage [kWh],Crop impact [W/m^2],Minimum crop [W/m^2],Maximum crop [W/m^2]
January,1579074.1558802428,128.12018066597324,40.032818877565575,1579074.1558802428,0,-68.46718112243443,108.5,130.2
February,1760689.7951840418,175.6470361379535,67.63579454794709,1760689.7951840418,0,-40.864205452052914,108.5,130.2
March,2177627.2024995573,239.46882206619622,111.56460799535165,2177627.2024995573,0,0.0,0.0,0.0
April,2165748.971310492,286.1642049837426,153.66132740329977,2165748.971310492,0,0.0,0.0,0.0
May,2257624.2234146763,322.0726140438677,187.35010898697635,2257624.2234146763,0,0.0,0.0,0.0
June,2165461.815196404,334.5381501358428,200.62922292840193,2165461.815196404,0,0.0,0.0,0.0
July,2218206.0916495286,322.51231562840803,190.17606787838997,2218206.0916495286,0,0.0,0.0,0.0
August,2249465.7463221466,299.6409437853282,166.03407974651998,2249465.7463221466,0,0.0,0.0,0.0
September,2016959.626809259,242.11841928757514,120.42271895714643,2016959.626809259,0,0.0,0.0,0.0
October,1943850.575321502,191.65627614094765,79.54322795816913,1943850.575321502,0,0.0,21.7,43.4
November,1626150.1431853292,141.10494421412264,46.32673478582881,1626150.1431853292,0,0.0,43.4,130.2
December,1583223.7597116772,120.2910711816599,32.28709369630554,1583223.7597116772,0,-11.112906303694459,43.4,130.2
